ensembl_gene_id;gene_symbol
ENSRNOG00000018937;Gstm2
ENSRNOG00000021017;Car11
ENSRNOG00000019572;Lsm4
ENSRNOG00000012247;Rab7a
ENSRNOG00000055939;Zcchc18
ENSRNOG00000015304;Tmem160
ENSRNOG00000050669;LOC100911515
ENSRNOG00000017295;Sh3glb2
ENSRNOG00000016930;Ube2s
ENSRNOG00000020897;Prpf19
ENSRNOG00000007114;Psma6
ENSRNOG00000042653;Ndufaf8
ENSRNOG00000017558;Tubb2a
ENSRNOG00000018184;Tpm1
ENSRNOG00000038218;Ndufc1
ENSRNOG00000010176;Map2k1
ENSRNOG00000011227;Atp1b2
ENSRNOG00000003747;Asna1
ENSRNOG00000011984;Cxcl14
ENSRNOG00000017405;Raly
ENSRNOG00000009683;Sdcbp
ENSRNOG00000004992;Rab1a
ENSRNOG00000003833;Nenf
ENSRNOG00000019666;Ubxn1
ENSRNOG00000011489;R3hdm4
ENSRNOG00000054782;Ppp3cb
ENSRNOG00000048174;Uqcrq
ENSRNOG00000020255;Sars
ENSRNOG00000057367;Glud1
ENSRNOG00000046002;Micos13
ENSRNOG00000027028;Lamtor4
ENSRNOG00000014890;Mrpl43
ENSRNOG00000008919;Arpp21
ENSRNOG00000003858;Atp6ap2
ENSRNOG00000020619;Eif3g
ENSRNOG00000020763;Snrnp70
ENSRNOG00000016541;Enc1
ENSRNOG00000010607;Rnf208
ENSRNOG00000000557;Ppa1
ENSRNOG00000002255;Fam162a
ENSRNOG00000002125;Ccni
ENSRNOG00000014581;Trappc2l
ENSRNOG00000018932;Ccdc124
ENSRNOG00000016383;Commd3
ENSRNOG00000018181;Stk25
ENSRNOG00000021103;Nrxn2
ENSRNOG00000020746;Lin7b
ENSRNOG00000013492;Cap1
ENSRNOG00000014908;Sf3b5
ENSRNOG00000028021;LOC684988
ENSRNOG00000012062;Npc2
ENSRNOG00000020889;Nucb1
ENSRNOG00000018457;Ptpa
ENSRNOG00000002436;Mmd
ENSRNOG00000011949;Ndufb5
ENSRNOG00000023360;Fus
ENSRNOG00000020299;Klc2
ENSRNOG00000010420;Sem1
ENSRNOG00000000814;Fabp7
ENSRNOG00000014058;Tomm22
ENSRNOG00000017193;Lingo1
ENSRNOG00000054775;Fkbp11
ENSRNOG00000018784;Jph3
ENSRNOG00000010232;Enpp5
ENSRNOG00000021010;Arl2
ENSRNOG00000009882;Ppp3ca
ENSRNOG00000016133;Sumo1
ENSRNOG00000008604;Nsfl1c
